procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2484620 117272 1247988    0    0     0    16 1161  2578 24  1 75  0
 1  0    144 2484868 117272 1247988    0    0     0     0 1158  3520 24  2 75  0
 1  0    144 2485508 117272 1247988    0    0     0    44 1159  3401 24  2 75  0
 1  0    144 2485444 117272 1247988    0    0     0     0 1167  2498 24  1 75  0
 1  0    144 2485772 117272 1247988    0    0     0     0 1150  2993 25  1 75  0
 1  0    144 2485772 117272 1247988    0    0     0    16 1162  2601 24  1 75  0
 1  0    144 2485764 117272 1247988    0    0     0     0 1164  3099 24  1 75  0
 1  0    144 2485828 117272 1247988    0    0     0    36 1155  3573 24  2 75  0
 1  0    144 2486220 117272 1247988    0    0     0     0 1164  3310 24  1 75  0
 1  0    144 2484428 117272 1247988    0    0     0     0 1156  3086 24  1 75  0
 1  0    144 2485516 117272 1247988    0    0     0    56 1164  2959 24  1 75  0
 1  0    144 2486852 117272 1247988    0    0     0     0 1157  2759 24  1 75  0
 1  0    144 2487172 117272 1247988    0    0     0    28 1159  3337 24  1 75  0
 1  0    144 2487684 117272 1247988    0    0     0     0 1161  3389 24  1 75  0
 1  0    144 2487564 117272 1247988    0    0     0     0 1163  3509 24  1 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2488972 117272 1247988    0    0     0    18 1156  3156 24  1 75  0
 1  0    144 2489476 117272 1247988    0    0     0     0 1152  3525 24  1 75  0
 1  0    144 2490628 117272 1247988    0    0     0    36 1167  3876 24  1 75  0
 1  0    144 2491788 117272 1247988    0    0     0     0 1157  3808 24  1 75  0
 1  0    144 2488524 117272 1247988    0    0     0     0 1149  3462 24  1 75  0
 1  0    144 2488524 117272 1247988    0    0     0    16 1154  3632 24  1 75  0
 1  0    144 2488508 117272 1247988    0    0     0     0 1166  2929 24  1 75  0
 1  0    144 2489084 117272 1247988    0    0     0    36 1158  3247 24  1 75  0
 1  0    144 2489276 117272 1247988    0    0     0     0 1159  3297 24  1 75  0
Mon Aug 18 14:59:56 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2489340 117272 1247988    0    0     1     9    3     1 10  1 88  0
 1  0    144 2488332 117272 1247988    0    0     0     0 1160  3201 25  1 75  0
 1  0    144 2488716 117272 1247988    0    0     0    44 1156  3640 24  1 75  0
 1  0    144 2489284 117272 1247988    0    0     0     0 1159  3460 24  1 75  0
 1  0    144 2489924 117272 1247988    0    0     0    88 1170  3617 24  1 75  0
 1  0    144 2490444 117272 1247988    0    0     0     0 1162  3727 24  1 75  0
 1  0    144 2488076 117272 1247988    0    0     0     0 1194  3304 24  1 75  0
 1  0    144 2488588 117272 1247988    0    0     0    24 1157  3237 24  1 75  0
 1  0    144 2488580 117272 1247988    0    0     0     0 1162  2951 24  1 75  0
 1  0    144 2488516 117272 1247988    0    0     0    36 1159  3109 24  1 75  0
 1  0    144 2488964 117272 1247988    0    0     0     0 1160  3202 24  1 75  0
 1  0    144 2488780 117272 1247988    0    0     0     0 1165  3511 24  1 75  0
 1  0    144 2489804 117272 1247988    0    0     0    16 1215  3074 24  1 75  0
 1  0    144 2489988 117272 1247988    0    0     0     0 1200  3382 24  1 75  0
 1  0    144 2490180 117272 1247988    0    0     0    28 1153  3381 24  1 75  0
 1  0    144 2490636 117272 1247988    0    0     0     0 1157  3078 24  1 75  0
 1  0    144 2487372 117272 1247988    0    0     0     0 1162  3788 24  1 75  0
 1  0    144 2488332 117272 1247988    0    0     0    16 1160  3868 24  2 75  0
 1  0    144 2489732 117272 1247988    0    0     0     0 1174  3461 24  1 75  0
 1  0    144 2490180 117272 1247988    0    0     0    40 1159  3540 24  1 75  0
 1  0    144 2491972 117272 1247988    0    0     0     0 1162  5444 24  1 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2488460 117272 1247988    0    0     0     0 1159  3473 24  1 75  0
